TaskNum,Block,Scen,altern,Option1,Option2,Option3,Choice,Scale,PersonID,TRT,TSugar,price,Gene,FullFlav,cset,opt
13,3,1,1,1,0,0,1,8,2221,2,25,2.49,1,1,3,0
13,3,1,2,0,1,0,0,8,2221,2,12,3.49,0,0,3,0
13,3,1,3,0,0,1,0,8,2221,2,0,0,0,0,3,1
14,3,2,1,1,0,0,0,7,2221,2,25,3.49,1,1,3,0
14,3,2,2,0,1,0,1,7,2221,2,12,2.99,0,0,3,0
14,3,2,3,0,0,1,0,7,2221,2,0,0,0,0,3,1
15,3,3,1,1,0,0,0,7,2221,2,12,3.49,0,1,3,0
15,3,3,2,0,1,0,1,7,2221,2,25,2.99,1,0,3,0
15,3,3,3,0,0,1,0,7,2221,2,0,0,0,0,3,1
16,3,4,1,1,0,0,1,8,2221,2,25,2.49,0,0,3,0
16,3,4,2,0,1,0,0,8,2221,2,12,3.49,1,1,3,0
16,3,4,3,0,0,1,0,8,2221,2,0,0,0,0,3,1
17,3,5,1,1,0,0,1,9,2221,2,12,2.99,0,1,3,0
17,3,5,2,0,1,0,0,9,2221,2,25,2.49,1,0,3,0
17,3,5,3,0,0,1,0,9,2221,2,0,0,0,0,3,1
18,3,6,1,1,0,0,0,6,2221,2,12,3.49,1,0,3,0
18,3,6,2,0,1,0,1,6,2221,2,25,2.49,0,1,3,0
18,3,6,3,0,0,1,0,6,2221,2,0,0,0,0,3,1
7,2,1,1,1,0,0,0,5,2222,2,12,3.49,0,0,3,0
7,2,1,2,0,1,0,0,5,2222,2,25,2.99,1,1,3,0
7,2,1,3,0,0,1,1,5,2222,2,0,0,0,0,3,1
8,2,2,1,1,0,0,0,5,2222,2,25,2.99,0,0,3,0
8,2,2,2,0,1,0,1,5,2222,2,12,2.49,1,1,3,0
8,2,2,3,0,0,1,0,5,2222,2,0,0,0,0,3,1
9,2,3,1,1,0,0,0,5,2222,2,12,2.49,1,0,3,0
9,2,3,2,0,1,0,0,5,2222,2,25,3.49,0,1,3,0
9,2,3,3,0,0,1,1,5,2222,2,0,0,0,0,3,1
10,2,4,1,1,0,0,1,5,2222,2,12,2.49,1,1,3,0
10,2,4,2,0,1,0,0,5,2222,2,25,3.49,0,0,3,0
10,2,4,3,0,0,1,0,5,2222,2,0,0,0,0,3,1
11,2,5,1,1,0,0,1,5,2222,2,12,2.49,0,0,3,0
11,2,5,2,0,1,0,0,5,2222,2,25,3.49,1,1,3,0
11,2,5,3,0,0,1,0,5,2222,2,0,0,0,0,3,1
12,2,6,1,1,0,0,0,5,2222,2,25,3.49,1,0,3,0
12,2,6,2,0,1,0,1,5,2222,2,12,2.49,0,1,3,0
12,2,6,3,0,0,1,0,5,2222,2,0,0,0,0,3,1
13,3,1,1,1,0,0,1,8,2223,2,25,2.49,1,1,3,0
13,3,1,2,0,1,0,0,8,2223,2,12,3.49,0,0,3,0
13,3,1,3,0,0,1,0,8,2223,2,0,0,0,0,3,1
14,3,2,1,1,0,0,1,8,2223,2,25,3.49,1,1,3,0
14,3,2,2,0,1,0,0,8,2223,2,12,2.99,0,0,3,0
14,3,2,3,0,0,1,0,8,2223,2,0,0,0,0,3,1
15,3,3,1,1,0,0,1,10,2223,2,12,3.49,0,1,3,0
15,3,3,2,0,1,0,0,10,2223,2,25,2.99,1,0,3,0
15,3,3,3,0,0,1,0,10,2223,2,0,0,0,0,3,1
16,3,4,1,1,0,0,0,6,2223,2,25,2.49,0,0,3,0
16,3,4,2,0,1,0,1,6,2223,2,12,3.49,1,1,3,0
16,3,4,3,0,0,1,0,6,2223,2,0,0,0,0,3,1
17,3,5,1,1,0,0,1,10,2223,2,12,2.99,0,1,3,0
17,3,5,2,0,1,0,0,10,2223,2,25,2.49,1,0,3,0
17,3,5,3,0,0,1,0,10,2223,2,0,0,0,0,3,1
18,3,6,1,1,0,0,0,9,2223,2,12,3.49,1,0,3,0
18,3,6,2,0,1,0,1,9,2223,2,25,2.49,0,1,3,0
18,3,6,3,0,0,1,0,9,2223,2,0,0,0,0,3,1
7,2,1,1,1,0,0,0,10,2224,2,12,3.49,0,0,3,0
7,2,1,2,0,1,0,1,10,2224,2,25,2.99,1,1,3,0
7,2,1,3,0,0,1,0,10,2224,2,0,0,0,0,3,1
8,2,2,1,1,0,0,1,10,2224,2,25,2.99,0,0,3,0
8,2,2,2,0,1,0,0,10,2224,2,12,2.49,1,1,3,0
8,2,2,3,0,0,1,0,10,2224,2,0,0,0,0,3,1
9,2,3,1,1,0,0,0,10,2224,2,12,2.49,1,0,3,0
9,2,3,2,0,1,0,1,10,2224,2,25,3.49,0,1,3,0
9,2,3,3,0,0,1,0,10,2224,2,0,0,0,0,3,1
10,2,4,1,1,0,0,0,10,2224,2,12,2.49,1,1,3,0
